State,City,Distribution Company,Consumer Category,Residential,Commercial / Non-Residential,EV Charging,Energy Charge (₹/kWh),Fixed Charge,Voltage Level,Effective Date,Source Page Number,Fuel Type,Price (₹/litre),Snapshot Date,Source_x,Implementing Agency,Charging Stations Count,Access Type,Source_y,Grid Emission Factor (kg CO2/kWh),Vehicle Class,Powertrain,Maintenance Cost (₹/km),Replacement Cost (₹),Replacement Cycle (Years),Location_Level,Cost_per_km_₹,CO2_per_km_kg
Maharashtra,Mumbai,MERC (AEML/TPC-D),LT II (A) 0-20 kW,Yes,Yes,No,8.27,470.0,LT,1 April 2023,606,Petrol,104.21,2026-01-06,IOC,,,,,0.716,2W,ICE,1.2,15000,7,City,104.21,2.31
Maharashtra,Mumbai,MERC (AEML/TPC-D),LT II (A) 0-20 kW,Yes,Yes,No,8.27,470.0,LT,1 April 2023,606,Diesel,90.03,2026-01-06,IOC,,,,,0.716,2W,ICE,1.2,15000,7,City,90.03,2.31
Maharashtra,Mumbai,MERC (AEML/TPC-D),LT II (B) > 20 kW and ≤ 50 kW,Yes,Yes,No,12.63,470.0,LT,1 April 2023,606,Petrol,104.21,2026-01-06,IOC,,,,,0.716,2W,ICE,1.2,15000,7,City,104.21,2.31
Maharashtra,Mumbai,MERC (AEML/TPC-D),LT II (B) > 20 kW and ≤ 50 kW,Yes,Yes,No,12.63,470.0,LT,1 April 2023,606,Diesel,90.03,2026-01-06,IOC,,,,,0.716,2W,ICE,1.2,15000,7,City,90.03,2.31
Maharashtra,Mumbai,MERC (AEML/TPC-D),LT II (C) > 50 kW,Yes,Yes,No,14.93,470.0,LT,1 April 2023,607,Petrol,104.21,2026-01-06,IOC,,,,,0.716,2W,ICE,1.2,15000,7,City,104.21,2.31
Maharashtra,Mumbai,MERC (AEML/TPC-D),LT II (C) > 50 kW,Yes,Yes,No,14.93,470.0,LT,1 April 2023,607,Diesel,90.03,2026-01-06,IOC,,,,,0.716,2W,ICE,1.2,15000,7,City,90.03,2.31
Maharashtra,Maharashtra,MSEDCL,LT II (A) 0-20 kW,Yes,Yes,No,6.6,,LT,1 April 2024,731,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,LT II (B) > 20 kW and ≤ 50 kW,Yes,Yes,No,10.33,,LT,1 April 2024,731,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,LT II (C) > 50 kW,Yes,Yes,No,12.47,,LT,1 April 2024,731,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,LT II (A) 0-20 kW,Yes,Yes,No,6.44,,LT,1 April 2024,731,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,LT II (B) > 20 kW and ≤ 50 kW,Yes,Yes,No,10.07,,LT,1 April 2024,731,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,LT II (C) > 50 kW,Yes,Yes,No,12.16,,LT,1 April 2024,731,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,HT II: HT - Commercial,No,Yes,No,1.0,446,HT,1 April 2024,789,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,HT VI: HT - Group Housing Societies (Residential),Yes,No,No,166.0,31,HT,1 April 2024,789,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,HT IX: HT – Electric Vehicle Charging Station,No,No,Yes,804.0,,HT,1 April 2024,789,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,LT I(A): LT - Residential- BPL Category (0-30 units),Yes,No,No,5.0,7,LT,1 April 2024,789,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,LT II(A): LT - Non- Residential (0-20 kW),Yes,Yes,No,3.0,1,LT,1 April 2024,790,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,LT II(B): LT - Non- Residential (>20 kW and ≤ 50 kW),Yes,Yes,No,1.0,274,LT,1 April 2024,790,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,LT II(C): LT - Non- Residential (Above 50 kW),Yes,Yes,No,1.0,249,LT,1 April 2024,790,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,LT III(A): LT - Public Water Works (0-20 kW),Yes,Yes,No,347.0,20,LT,1 April 2024,790,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,LT III(B): LT - Public Water Works (>20 kW-40 kW),Yes,Yes,No,83.0,8,LT,1 April 2024,790,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,LT III (C): LT - Public Water Works (Above 40 kW),Yes,Yes,No,152.0,13,LT,1 April 2024,790,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
Maharashtra,Maharashtra,MSEDCL,LT IV(B): LT -AG Metered-Pumpsets,Yes,No,No,9.0,1,LT,1 April 2024,791,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31
