State,City,Distribution Company,Consumer Category,Residential,Commercial / Non-Residential,EV Charging,Energy Charge (₹/kWh),Fixed Charge,Voltage Level,Effective Date,Source Page Number,Fuel Type,Price (₹/litre),Snapshot Date,Source_x,Implementing Agency,Charging Stations Count,Access Type,Source_y,Grid Emission Factor (kg CO2/kWh),Vehicle Class,Powertrain,Maintenance Cost (₹/km),Replacement Cost (₹),Replacement Cycle (Years),Location_Level,Cost_per_km_₹,CO2_per_km_kg,Tariff Year
Maharashtra,Mumbai,MERC (AEML/TPC-D),LT II (A) 0-20 kW,Yes,Yes,No,8.8,As per tariff,LT,1 April 2023,606,Petrol,104.21,2026-01-06,IOC,,,,,0.716,2W,ICE,1.2,15000,7,City,104.21,2.31,2025-26
Maharashtra,Mumbai,MERC (AEML/TPC-D),LT II (A) 0-20 kW,Yes,Yes,No,8.8,As per tariff,LT,1 April 2023,606,Diesel,90.03,2026-01-06,IOC,,,,,0.716,2W,ICE,1.2,15000,7,City,90.03,2.31,2025-26
Maharashtra,Mumbai,MERC (AEML/TPC-D),LT II (B) > 20 kW and ≤ 50 kW,Yes,Yes,No,8.8,As per tariff,LT,1 April 2023,606,Petrol,104.21,2026-01-06,IOC,,,,,0.716,2W,ICE,1.2,15000,7,City,104.21,2.31,2025-26
Maharashtra,Mumbai,MERC (AEML/TPC-D),LT II (B) > 20 kW and ≤ 50 kW,Yes,Yes,No,8.8,As per tariff,LT,1 April 2023,606,Diesel,90.03,2026-01-06,IOC,,,,,0.716,2W,ICE,1.2,15000,7,City,90.03,2.31,2025-26
Maharashtra,Mumbai,MERC (AEML/TPC-D),LT II (C) > 50 kW,Yes,Yes,No,8.8,As per tariff,LT,1 April 2023,607,Petrol,104.21,2026-01-06,IOC,,,,,0.716,2W,ICE,1.2,15000,7,City,104.21,2.31,2025-26
Maharashtra,Mumbai,MERC (AEML/TPC-D),LT II (C) > 50 kW,Yes,Yes,No,8.8,As per tariff,LT,1 April 2023,607,Diesel,90.03,2026-01-06,IOC,,,,,0.716,2W,ICE,1.2,15000,7,City,90.03,2.31,2025-26
Maharashtra,Maharashtra,MSEDCL,LT II (A) 0-20 kW,Yes,Yes,No,8.8,As per tariff,LT,1 April 2024,731,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31,2025-26
Maharashtra,Maharashtra,MSEDCL,LT II (B) > 20 kW and ≤ 50 kW,Yes,Yes,No,8.8,As per tariff,LT,1 April 2024,731,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31,2025-26
Maharashtra,Maharashtra,MSEDCL,LT II (C) > 50 kW,Yes,Yes,No,8.8,As per tariff,LT,1 April 2024,731,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31,2025-26
Maharashtra,Maharashtra,MSEDCL,LT II (A) 0-20 kW,Yes,Yes,No,8.8,As per tariff,LT,1 April 2024,731,,,,,,,,,0.716,2W,ICE,1.2,15000,7,State,,2.31,2025-26
